,0,1
0,audio,148
1,sound,93
2,system,60
3,results,59
4,frequency,52
5,acoustic,49
6,performance,44
7,music,43
8,room,43
9,method,43
10,microphone,41
11,two,40
12,listening,39
13,systems,39
14,signal,37
15,quality,36
16,response,36
17,test,35
18,model,34
19,proposed,33
20,noise,33
21,study,32
22,signals,32
23,use,31
24,spatial,31
25,loudspeaker,30
26,data,28
27,time,28
28,loudspeakers,28
29,approach,27
30,design,27
31,recordings,26
32,measurements,25
33,well,25
34,compared,24
35,reverberation,24
36,speech,24
37,multichannel,24
38,also,23
39,reproduction,23
40,listeners,23
41,listener,23
42,recording,23
43,perceived,23
44,perceptual,22
45,“,22
46,”,22
47,preference,22
48,binaural,22
49,mixing,22
50,source,22
51,methods,21
52,new,21
53,sources,21
54,impulse,21
55,however,21
56,measurement,21
57,work,21
58,musical,21
59,algorithm,20
60,found,20
61,array,20
62,one,20
63,3d,20
64,analysis,19
65,show,19
66,control,19
67,three,19
68,high,19
69,may,19
70,effect,19
71,immersive,19
72,presented,19
73,devices,19
74,arrays,18
75,stereo,18
76,within,17
77,responses,17
78,processing,17
79,distortion,17
80,research,16
81,evaluation,16
82,several,16
83,masking,16
84,experience,16
85,parameters,16
86,real,16
87,virtual,16
88,effects,15
89,due,15
90,user,15
91,determine,15
92,microphones,15
93,production,15
94,order,15
95,technology,15
96,models,14
97,available,14
98,techniques,14
99,technique,14
100,environment,14
101,range,14
102,subjective,14
103,transfer,14
104,differences,14
105,subjects,14
106,level,14
107,vr,14
108,performed,14
109,nonlinear,14
110,need,13
111,applied,13
112,low,13
113,levels,13
114,error,13
115,patterns,13
116,presents,13
117,acoustical,13
118,headphone,13
119,acoustics,13
120,recorded,13
121,experiments,13
122,objective,13
123,elements,13
124,approaches,13
125,measured,13
126,field,12
127,image,12
128,many,12
129,standard,12
130,four,12
131,experiment,12
132,higher,12
133,loudness,12
134,significant,12
135,made,12
136,multiple,12
137,given,12
138,conducted,12
139,horn,12
140,mix,12
141,process,12
142,framework,12
143,materials,11
144,content,11
145,present,11
146,spectral,11
147,features,11
148,allows,11
149,efficiency,11
150,matrix,11
151,improve,11
152,linear,11
153,evaluated,11
154,material,11
155,studies,11
156,format,11
157,analyzed,11
158,engineers,11
159,playback,11
160,``,11
161,'',11
162,position,11
163,environments,11
164,impedance,11
165,tests,11
166,preferred,11
167,shows,10
168,learning,10
169,similar,10
170,overall,10
171,network,10
172,applications,10
173,e.g.,10
174,directivity,10
175,result,10
176,panel,10
177,auditory,10
178,function,10
179,set,10
180,surround,10
181,sounds,10
182,gain,10
183,without,10
184,localization,10
185,conditions,10
186,lower,10
187,showed,10
188,instruments,10
189,create,10
190,comparison,10
191,space,10
192,better,10
193,functions,10
194,effectiveness,9
195,large,9
196,accuracy,9
197,first,9
198,produce,9
199,increase,9
200,neural,9
201,input,9
202,domain,9
203,speaker,9
204,limited,9
205,small,9
206,evaluate,9
207,number,9
208,head,9
209,investigated,9
210,highly,9
211,implementation,9
212,capture,9
213,delay,9
214,requires,9
215,difference,9
216,including,9
217,experimental,9
218,deep,9
219,developed,9
220,object-based,9
221,provide,9
222,modal,9
223,task,9
224,transmission,9
225,attributes,9
226,hearing,9
227,three-dimensional,9
228,purpose,8
229,subject,8
230,classification,8
231,series,8
232,pressure,8
233,simulations,8
234,filters,8
235,times,8
236,beamforming,8
237,frequencies,8
238,driver,8
239,sine,8
240,propose,8
241,modulation,8
242,even,8
243,additional,8
244,headphones,8
245,target,8
246,whether,8
247,harmonic,8
248,examined,8
249,across,8
250,rate,8
251,studio,8
252,tracks,8
253,best,8
254,example,8
255,terms,8
256,existing,8
257,formats,8
258,designed,8
259,clarity,8
260,intelligibility,8
261,synthesis,8
262,plane,8
263,element,8
264,reference,8
265,development,8
266,physical,8
267,impact,8
268,recent,8
269,rendering,8
270,speakers,8
271,immersion,8
272,algorithms,8
273,interaction,8
274,training,7
275,representation,7
276,dataset,7
277,automatic,7
278,either,7
279,various,7
280,feature,7
281,application,7
282,like,7
283,popular,7
284,aspects,7
285,traditional,7
286,measuring,7
287,shown,7
288,way,7
289,considered,7
290,factors,7
291,rated,7
292,suggest,7
293,simple,7
294,efficient,7
295,known,7
296,years,7
297,1,7
298,dynamic,7
299,users,7
300,filter,7
301,factor,7
302,output,7
303,presence,7
304,providing,7
305,specific,7
306,single,7
307,conventional,7
308,students,7
309,problem,7
310,digital,7
311,simulation,7
312,threshold,7
313,reality,7
314,horizontal,7
315,participants,7
316,groups,7
317,prediction,7
318,post-production,7
319,capable,7
320,future,7
321,mems,7
322,scale,7
323,hrtfs,7
324,group,7
325,note,7
326,ports,7
327,proposes,7
328,curves,7
329,investigation,6
330,representations,6
331,provides,6
332,machine,6
333,images,6
334,point,6
335,challenges,6
336,original,6
337,metadata,6
338,towards,6
339,since,6
340,generated,6
341,resulting,6
342,average,6
343,contrast,6
344,solutions,6
345,allow,6
346,size,6
347,transducers,6
348,effective,6
349,assessment,6
350,practical,6
351,problems,6
352,describes,6
353,parametric,6
354,codecs,6
355,obtained,6
356,ears,6
357,equalization,6
358,complex,6
359,prior,6
360,stimuli,6
361,certain,6
362,described,6
363,reflections,6
364,previous,6
365,back,6
366,properties,6
367,reduced,6
368,required,6
369,producing,6
370,concert,6
371,cases,6
372,help,6
373,examples,6
374,power,6
375,audience,6
376,ability,6
377,become,6
378,case,6
379,discussed,6
380,important,6
381,mobile,6
382,knowledge,6
383,direct,6
384,estimate,6
385,designing,6
386,robust,6
387,crosstalk,6
388,distributed,6
389,interest,6
390,db,6
391,engineering,6
392,improving,6
393,networks,6
394,finite,6
395,indicate,6
396,influence,6
397,vertical,6
398,world,6
399,direction,6
400,positions,6
401,via,6
402,information,6
403,investigate,6
404,changes,6
405,investigates,6
406,optimized,6
407,decay,6
408,derived,6
409,auralization,6
410,technical,6
411,analog,6
412,characteristics,6
413,convolution,6
414,separation,6
415,media,6
416,spaces,6
417,ambisonic,6
418,baffle,6
419,rnc,6
420,explore,5
421,depending,5
422,context,5
423,background,5
424,improves,5
425,lack,5
426,comparing,5
427,version,5
428,tool,5
429,temporal,5
430,cinematic,5
431,able,5
432,latency,5
433,ms,5
434,calculation,5
435,usually,5
436,effort,5
437,4,5
438,variable,5
439,drivers,5
440,construction,5
441,affect,5
442,sweeps,5
443,excitation,5
444,less,5
445,support,5
446,consisting,5
447,modeling,5
448,phenomena,5
449,human,5
450,volume,5
451,significantly,5
452,perception,5
453,types,5
454,full,5
455,furthermore,5
456,demonstrate,5
457,amplitude,5
458,still,5
459,ensemble,5
460,change,5
461,evidence,5
462,growing,5
463,scene,5
464,considers,5
465,x,5
466,professional,5
467,blind,5
468,10,5
469,reported,5
470,tools,5
471,general,5
472,integration,5
473,interface,5
474,smart,5
475,transformation,5
476,displacement,5
477,locations,5
478,type,5
479,channel,5
480,products,5
481,mvdr,5
482,geometry,5
483,timbre,5
484,coding,5
485,scenes,5
486,creating,5
487,vector,5
488,varying,5
489,cause,5
490,find,5
491,samples,5
492,typically,5
493,computational,5
494,primary,5
495,spectrogram,5
496,components,5
497,compression,5
498,waves,5
499,might,5
500,flat-panel,5
501,mechanical,5
502,technologies,5
503,minimize,5
504,focus,5
505,reduce,5
506,points,5
507,c50,5
508,channels,5
509,combined,5
510,predict,5
511,reflection,5
512,bandwidth,5
513,bbwe,5
514,good,5
515,experienced,5
516,instantaneous,5
517,behavior,5
518,extracted,5
519,b-format,5
520,compact,5
521,bass,5
522,asked,5
523,captured,5
524,basic,5
525,tested,5
526,cancellation,5
527,novel,5
528,true,5
529,five,5
530,could,5
531,ambisonics,5
532,duration,5
533,velocity,5
534,notes,5
535,reproduced,5
536,magnet,5
537,analyzing,5
538,onset,5
539,flat,5
540,soundbar,5
541,e-brief,5
542,perform,5
543,mode,5
544,procedure,5
545,associated,5
546,loss,5
547,real-time,5
548,video,5
549,bird,5
550,multitrack,5
551,cnn-tdnn,5
552,reports,4
553,survey,4
554,critical,4
555,accurately,4
556,amount,4
557,visual,4
558,augmentation,4
559,second,4
560,suitable,4
561,transform,4
562,essential,4
563,classify,4
564,statistical,4
565,synthetic,4
566,real-world,4
567,matching,4
568,personal,4
569,implemented,4
570,configurations,4
571,anechoic,4
572,equal,4
573,constructed,4
574,principles,4
575,comparisons,4
576,additionally,4
577,common,4
578,often,4
579,exist,4
580,must,4
581,double-blind,4
582,testing,4
583,degree,4
584,audibility,4
585,leading,4
586,included,4
587,inside,4
588,produced,4
589,ear,4
590,every,4
591,overtone,4
592,possibility,4
593,attention,4
594,solution,4
595,improved,4
596,accurate,4
597,distinct,4
598,hall,4
599,tempo,4
600,thus,4
601,increasing,4
602,importance,4
603,carried,4
604,events,4
605,mixes,4
606,done,4
607,controlled,4
608,least,4
609,prototype,4
610,alignment,4
611,electronic,4
612,offers,4
613,delays,4
614,component,4
615,match,4
616,spectrum,4
617,beamformer,4
618,dependent,4
619,setup,4
620,software,4
621,reproduce,4
622,outside,4
623,realism,4
624,enable,4
625,hear,4
626,masker,4
627,band,4
628,coincident,4
629,public,4
630,address,4
631,require,4
632,absorption,4
633,daw,4
634,quantization,4
635,harmonics,4
636,custom,4
637,intended,4
638,i.e.,4
639,modes,4
640,tube,4
641,stereophonic,4
642,surface,4
643,consistent,4
644,filtering,4
645,optimize,4
646,awareness,4
647,aim,4
648,needed,4
649,brirs,4
650,ratio,4
651,together,4
652,precedence,4
653,lowered,4
654,elevation,4
655,condition,4
656,crucial,4
657,predicts,4
658,measure,4
659,initial,4
660,instrument,4
661,aims,4
662,university,4
663,issues,4
664,enhance,4
665,bit,4
666,layers,4
667,algorithmic,4
668,schemes,4
669,scheme,4
670,graphene,4
671,membrane,4
672,sensitivity,4
673,late,4
674,synthesized,4
675,simulated,4
676,capsule,4
677,advantage,4
678,smaller,4
679,processed,4
680,time-domain,4
681,package,4
682,previously,4
683,parameter,4
684,magnitude,4
685,relevant,4
686,assess,4
687,height,4
688,characterize,4
689,musicians,4
690,midi,4
691,market,4
692,electrical,4
693,affecting,4
694,obrirs,4
695,current,4
696,flare,4
697,dimensions,4
698,streaming,4
699,values,4
700,peak,4
701,2d,4
702,appropriate,4
703,envelopment,4
704,layer,4
705,commonly,4
706,m-noise,4
707,coherence,4
708,focuses,4
709,limitations,4
710,salte,4
711,les,4
712,goal,4
713,selected,4
714,resolution,4
715,sections,4
716,rooms,4
717,rir,4
718,timbral,4
719,guitar,4
720,represent,4
721,optimization,4
722,global,4
723,track,4
724,exciter,4
725,hip-hop,4
726,adaptation,4
727,education,3
728,concept,3
729,mental,3
730,educational,3
731,instructional,3
732,consider,3
733,despite,3
734,designs,3
735,apply,3
736,introduce,3
737,procedures,3
738,voice,3
739,classifier,3
740,formulation,3
741,added,3
742,6,3
743,achieving,3
744,great,3
745,broadband,3
746,ambient,3
747,impulsive,3
748,minimum,3
749,resilient,3
750,acoustically,3
751,trained,3
752,ir,3
753,exhibit,3
754,coupling,3
755,major,3
756,near,3
757,slightly,3
758,structure,3
759,basis,3
760,so-called,3
761,tonal,3
762,revealed,3
763,trend,3
764,demonstrated,3
765,close,3
766,early,3
767,easy,3
768,lead,3
769,particular,3
770,called,3
771,numerical,3
772,decisions,3
773,mainly,3
774,forensic,3
775,describe,3
776,compare,3
777,song,3
778,logic,3
779,pro,3
780,engineer,3
781,related,3
782,quantify,3
783,2,3
784,variety,3
785,services,3
786,expand,3
787,article,3
788,vented,3
789,calculated,3
790,diaphragm,3
791,improvement,3
792,played,3
793,corresponding,3
794,observed,3
795,obtain,3
796,demonstrates,3
797,applying,3
798,apps,3
799,tracking,3
800,khz,3
801,5,3
802,achieve,3
803,relationship,3
804,brief,3
805,open-source,3
806,resources,3
807,provided,3
808,employing,3
809,energy,3
810,scores,3
811,consumer,3
812,industry,3
813,clips,3
814,train,3
815,means,3
816,convolutional,3
817,contributions,3
818,throat,3
819,mouth,3
820,entire,3
821,perspective,3
822,simplified,3
823,situations,3
824,focused,3
825,drc,3
826,adaptive,3
827,commercial,3
828,whereas,3
829,uses,3
830,advantages,3
831,resonant,3
832,vibrating,3
833,commercially,3
834,ratings,3
835,rating,3
836,induced,3
837,especially,3
838,today,3
839,moreover,3
840,augmented,3
841,comparable,3
842,synthesize,3
843,soc,3
844,fpgas,3
845,long,3
846,open,3
847,platform,3
848,developing,3
849,ones,3
850,works,3
851,vocal,3
852,influences,3
853,minimal,3
854,widely,3
855,examines,3
856,right,3
857,psychoacoustic,3
858,directional,3
859,hz,3
860,co-located,3
861,location,3
862,sense,3
863,impression,3
864,shared,3
865,theoretical,3
866,behind,3
867,delivery,3
868,aes,3
869,relatively,3
870,encountered,3
871,extension,3
872,codec,3
873,prominent,3
874,extended,3
875,side,3
876,dnn,3
877,con,3
878,memory,3
879,complexity,3
880,hand-and-gesture,3
881,generally,3
882,make,3
883,membranes,3
884,intermodulation,3
885,reverberant,3
886,finally,3
887,spherical,3
888,imaging,3
889,built,3
890,individual,3
891,needs,3
892,equivalent,3
893,circuit,3
894,analyze,3
895,estimation,3
896,along,3
897,categories,3
898,head-related,3
899,performances,3
900,first-order,3
901,string,3
902,piano,3
903,area,3
904,designers,3
905,playing,3
906,mean,3
907,correlation,3
908,modern,3
909,monitor,3
910,external,3
911,changed,3
912,bee,3
913,understand,3
914,determining,3
915,useful,3
916,port,3
917,optimal,3
918,technological,3
919,alternative,3
920,ease,3
921,taken,3
922,attribute,3
923,six,3
924,digitization,3
925,accessible,3
926,enhanced,3
927,trial,3
928,quickly,3
929,comprising,3
930,moving,3
931,5.1,3
