,0,1
0,Belmont University,9
1,McGill University,7
2,Queen Mary University of London,7
3,University of Rochester,5
4,Samsung Research America,5
5,New York University,5
6,Fraunhofer Institute for Integrated Circuits IIS,4
7,Montana State University,3
8,International Audio Laboratories Erlangen,3
9,Institute of Acoustics,3
10,"Dolby Laboratories, Inc.",3
11,University of Huddersfield,3
12,School for Advanced Studies in the Social Sciences,3
13,AGH University of Science and Technology,2
14,Friedrich Alexander University,2
15,University of California,2
16,Nanjing University,2
17,University of Central Punjab,2
18,Harman Professional Solutions,2
19,University of Derby,2
20,BBC Research and Development,2
21,University of Salford,2
22,Contralto Audio srl,2
23,Technische Universität Ilmenau,2
24,University of Maryland,2
25,Centre for Interdisciplinary Research in Music Media and Technology,2
26,Fraunhofer IIS,2
27,ORA Graphine Audio Inc.,2
28,Chinese Academy of Sciences,2
29,Universitá Politecnica della Marche,2
30,Technical University Dresden,2
31,University of York,2
32,Technical University of Denmark,2
33,Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT),2
34,Illusonic GmbH,2
35,University of Miami,2
36,Leibniz Universität Hannover,2
37,University of Lethbridge,2
38,University of Technology Sydney,1
39,Mentor Graphics,1
40,HP Labs.,1
41,PSA Group,1
42,Le Mans Université,1
43,Rensselaer Polytechnic Institute,1
44,EBB-consult,1
45,DPA Microphones,1
46,University of Oldenburg,1
47,Fraunhofer HAS,1
48,Luleå University of Technology,1
49,University of Colorado Denver,1
50,Center for Computer Research in Music and Acoustics (CRMA),1
51,Qualcomm Technologies,1
52,Rensselear Polytechnic Institute,1
53,Gwangju Institute of Science and Technology (GIST),1
54,David Griesinger Acoustics,1
55,University of Stuttgart,1
56,Peter Mapp Associates,1
57,University of Southampton,1
58,University of Surrey,1
59,Naked Productions,1
60,DTS/Xperi Corp.,1
61,Art+Logic,1
62,PACSYS Limited,1
63,Flat Earth Inc.,1
64,Kyushu University,1
65,Tufts University,1
66,University of Waikato,1
67,Flavorlab,1
68,ARiA Acoustics,1
69,Fraunhofer Institute for Digital Media Technology (IDMT),1
70,RWTH Aachen University,1
71,University of Aizu,1
72,CNRS-UMR9912/STMS (IRCAM),1
73,Carpenter Technology Corporation,1
74,King Mongkut’s Institute of Technology Ladkrabang,1
75,Harman International Inc.,1
76,Tokyo University of the Arts,1
77,BBC Studios,1
78,CIRMMT,1
79,R&D Team,1
80,Embody VR,1
81,Meyer Sound Laboratories,1
82,Australian National University,1
83,CCRMA,1
84,TU- Ilmenau,1
85,Bang & Olufsen a/s,1
86,Aalborg University,1
87,Aarhus University,1
88,Academy of Performing Arts in Prague,1
89,École Nationale Supérieure Louis Lumière,1
90,Sorbonne Université,1
91,University of Las Américas,1
92,Hiroshima City University,1
93,Queens University Belfast,1
94,University of Indianapolis,1
95,The Chelsea Music Festival,1
96,Spelman College,1
97,University of Illinois,1
98,Ilmenau University of Technology,1
99,Akita Prefectural University,1
100,SUNY Potsdam,1
101,L-Acoustics,1
102,Rochester Institute of Technology,1
103,Tohoku University,1
104,Univeresità Politecnica delle Marche,1
105,Birmingham City University,1
106,ICEpower a/s,1
107,Ambidio,1
108,Hong Kong University of Science and Technology,1
109,Stanford University,1
110,Aalto University,1
111,Overdub Productions,1
112,Nagoya Institute of Technology,1
113,Retired,1
114,University of Illinois at Urbana-Champaign,1
115,University of Pittsburgh,1
116,NTT Corporation,1
117,Harmonic Power Conversion LLC,1
118,University of Victoria,1
119,Leeds Beckett University,1
120,Guangzhou University,1
121,Power Grid Planning Center,1
122,Harman International,1
123,QSC,1
124,Universita Politecnica delle Marche,1
125,Leaff Engineering,1
126,Digital Audio Arts - University of Lethbridge,1
127,CNRS Centre Georg Simmel (EHESS),1
128,Gorycki & Sznyterman Sp. z o.o.,1
129,B&C Speakers S.p.A.,1
130,Audiomatica Srl,1
131,HKU University of the Arts,1
