,0,1
0,"Bulla, Wesley",6
1,"McMullin, Elisabeth",3
2,"Brunet, Pascal",3
3,"Woszczyk, Wieslaw",3
4,"Herre, Jürgen",3
5,"King, Richard",3
6,"Zheng, Chengshi",3
7,"Lee, Hyunkook",3
8,"Cecchi, Stefania",3
9,"Piazza, Francesco",3
10,"Sandler, Mark",3
11,"Reiss, Joshua D.",3
12,"Pras, Amandine",3
13,"Chojnacki, Bartlomiej",2
14,"Kamisinski, Tadeusz",2
15,"Lee, Ming-Lun",2
16,"Philbert, Steve",2
17,"Edler, Bernd",2
18,"Dobson, Alexander",2
19,"Maher, Robert C.",2
20,"Hoerr, Ethan",2
21,"Shen, Yong",2
22,"Toosy, Fesal",2
23,"Ehsan, Muhammad Sarwar",2
24,"Voishvillo, Alexander",2
25,"Kákonyi, Balázs",2
26,"McLaughlin, Brian",2
27,"Hawley, Scott",2
28,"Bocko, Mark F.",2
29,"Martignon, Paolo",2
30,"Di Cola, Mario",2
31,"Chisari, Letizia",2
32,"Werner, Stephan",2
33,"Klein, Florian",2
34,"Mayo, Paul",2
35,"Genovese, Andrea",2
36,"Roginska, Agnieszka",2
37,"Cardenas, William",2
38,"Kubota, Glenn S.",2
39,"Li, Xiaodong",2
40,"Brandmeyer, Alex",2
41,"Johnson, Dale",2
42,"Terenzi, Alessandro",2
43,"Zenker, Benjamin",2
44,"Merchel, Sebastian",2
45,"Altinsoy, M. Ercan",2
46,"Martin, Denis",2
47,"Kearney, Gavin",2
48,"Schuller, Gerald",2
49,"Martin, Bryan",2
50,"Kelly, Jack",2
51,"Faller, Christof",2
52,"Ogihara, Mitsunori",2
53,"Ren, Gang",2
54,"Beauchamp, James W.",2
55,"Hupke, Robert",2
56,"Nophut, Marcel",2
57,"Preihs, Stephan",2
58,"Peissig, Jürgen",2
59,"Turner, Kierian",2
60,"Moffat, Dave",2
61,"Elmosnino, Stephane",1
62,"Barak, Ohad",1
63,"Sallem, Nizar",1
64,"Bharitkar, Sunil G.",1
65,"Vindrola, Lucas",1
66,"Melon, Manuel",1
67,"Chamard, Jean-Christophe",1
68,"Gazengel, Bruno",1
69,"Plantier, Guy",1
70,"Juros, Klara",1
71,"Kaczor, Daniel",1
72,"Segerstrom, Eric",1
73,"Brixen, Eddy Bøgh",1
74,"van de Par, Steven",1
75,"Disch, Sascha",1
76,"Niedermeier, Andreas",1
77,"Burdiel Pérez, Elena",1
78,"Celestinos, Adrian",1
79,"Banka, Ritesh",1
80,"Fox, Benjamin",1
81,"Smyth, Tamara",1
82,"Berg, Jan",1
83,"Wu, Jiayue Cecilia",1
84,"Das, Orchisama",1
85,"DiPasquale, Vincent",1
86,"De Oliveira, Rivanaldo",1
87,"Dong, Hao",1
88,"Chen, Rui",1
89,"Braasch, Jonas",1
90,"Dahlbom, David",1
91,"Keil, Nate",1
92,"Kim, Tae Woo",1
93,"Kim, Nam Kyun",1
94,"Lee, Geon Woo",1
95,"Park, Inyoung",1
96,"Kim, Hong Kook",1
97,"Griesinger, David",1
98,"Dick, Sascha",1
99,"Sweidan, Rami",1
100,"Mapp, Peter",1
101,"Hammond, Ross",1
102,"Costantini, Giacomo",1
103,"Franck, Andreas",1
104,"Pike, Chris",1
105,"Francombe, Jon",1
106,"Woodcock, James",1
107,"Hughes, Richard J.",1
108,"Coleman, Philip",1
109,"Whitmore, Eloise",1
110,"Fazi, Filippo Maria",1
111,"Nemer, Elias",1
112,"Fejzo, Zoran",1
113,"Thompson, Jeff",1
114,"Bagley, Jason",1
115,"Porter, Brett",1
116,"Traynham, Daisey",1
117,"Macey, Patrick",1
118,"Hickman, Christopher",1
119,"Roessner, Stephen",1
120,"Heilemann, Michael",1
121,"Müller, Clemens",1
122,"Vannoy, Trevor",1
123,"Davis, Tyler",1
124,"Dack, Connor",1
125,"Sobrero, Dustin",1
126,"Snider, Ross",1
127,"Tajima, Toshiki",1
128,"Kawahara, Kazuhiko",1
129,"Lam, Allison",1
130,"MacDonell, Marcus",1
131,"Scott, Jonathan",1
132,"Gospodarek, Marta",1
133,"Dembeck, Dennis",1
134,"Brenner, Corinne",1
135,"Perlin, Ken",1
136,"Yang, Hyunjoung",1
137,"Schmidt, Konstantin",1
138,"Bennington, Justin",1
139,"Ko, Doyuen",1
140,"Gaskell, Robert-Eric",1
141,"Smith, Sarah R.",1
142,"Anemüller, Carlotta",1
143,"Zhang, Kathleen ""Ying-Ying""",1
144,"Geluso, Paul",1
145,"Songmuang, Parichat",1
146,"Colburn, Benjamin",1
147,"Mimilakis, Stylianos Ioannis",1
148,"Nie, Yafei",1
149,"Sang, Jinqiu",1
150,"Darcy, Dan",1
151,"Lu, Lie",1
152,"Graff, Richard",1
153,"Swedlow, Nathan",1
154,"Crum, Poppy",1
155,"Kabzinski, Tobias",1
156,"Jax, Peter",1
157,"Saito, Aya",1
158,"Nemoto, Takahiro",1
159,"Saji, Akira",1
160,"Huang, Jie",1
161,"Weaver, James",1
162,"Barthet, Mathieu",1
163,"Chew, Elaine",1
164,"Lando, Josh",1
165,"Brown, Phil",1
166,"Seefeldt, Alan",1
167,"Jaspar, Andy",1
168,"Mehedi, Md",1
169,"Orcioni, Simone",1
170,"Park, Munhum",1
171,"Bezzola, Andri",1
172,"Devantier, Allan",1
173,"Welti, Todd",1
174,"Khonsaripour, Omid",1
175,"Olive, Sean",1
176,"Pye, Dan",1
177,"Marui, Atsushi",1
178,"Kamekawa, Toru",1
179,"Wilmering, Thomas",1
180,"Thalmann, Florian",1
