,title,abstract,authors,affiliation,subject,paper_type
0,Mental Representations in Critical Listening Education: A Preliminary Study,"This paper reports on a survey of critical listening training offered at tertiary education providers in the USA, UK, Australia, and Canada. The purpose of the investigation is to explore the concept of mental representations in educational contexts, as instructional materials do not always consider this aspect despite a rich research terrain in the field. The analysis shows a wide diversity of instructional methods used, seemingly influenced by course subject matter and institution business model. It also reveals a need to accurately define the concept of critical listening, depending on the context of its use. This study provides the background to a proposed evaluation of the effectiveness of mental representation models applied to new instructional designs.","['Elmosnino, Stephane']","['University of Technology Sydney, Sydney, New South Wales, Australia']",Audio Education,Talk
1,Audio Data Augmentation for Road Objects Classification by an Artificial Neural Network,"Following the resurgence of machine learning within the context of autonomous driving, the need for acquiring and labeling data expanded by folds. Despite the large amount of available visual data (images, point clouds, . . . ), researchers apply augmentation techniques to extend the training dataset, which improves the classification accuracy. When trying to exploit audio data for autonomous driving, two challenges immediately surfaced: first, the lack of available data and second, the absence of augmentation techniques. In this paper we introduce a series of augmentation techniques suitable for audio data. We apply several procedures, inspired by data augmentation for image classification, that transform and distort the original data to produce similar effects on sound. We show the increase in overall accuracy of our neural network for sound classification by comparing it to the non-augmented version.","['Barak, Ohad', 'Sallem, Nizar']","['Mentor Graphics, Mountain View, CA, USA']",Applications in Audio,Poster
2,Generative Modeling of Metadata for Machine Learning Based Audio Content Classification,"Automatic content classification technique is an essential tool in multimedia applications. Present research for audio-based classifiers look at short- and long-term analysis of signals, using both temporal and spectral features. In this paper we present a neural network to classify between the movie (cinematic, TV shows), music, and voice using metadata contained in either the audio/video stream. Towards this end, statistical models of the various metadata are created since a large metadata dataset is not available. Subsequently, synthetic metadata are generated from these statistical models, and the synthetic metadata is input to the ML classifier as feature vectors. The resulting classifier is then able to classify real-world content (e.g., YouTube) with an accuracy ˜ 90% with very low latency (viz., ˜ on an average 7 ms) based on real-world metadata.","['Bharitkar, Sunil G.']","['HP Labs., Inc., San Francisco, CA, USA']",Applications in Audio,Talk
3,Personal Sound Zones: A Comparison between Frequency and Time Domain Formulations in a Transportation Context,"This paper compares the formulation of a least-squares pressure matching algorithm in the frequency and time domains for the generation of Personal Sound Zones (PSZ) for a transportation application. Due to variations in the transportation’s acoustic environment, the calculation time is added to the usually found metrics in the PSZ bibliography (like Acoustic Contrast, Effort, etc.). Both formulations are implemented to control two zones in three configurations (4, 6, and 8 sources), using monopole simulations and anechoic measurements. In spite of not always presenting perfectly causal filters—pre-ringing in some filters occurs in some cases—the frequency domain formulation allows achieving equal levels of Acoustic Contrast, Effort, and Reproduction error more than 500 times faster than the time domain formulation.","['Vindrola, Lucas', 'Melon, Manuel', 'Chamard, Jean-Christophe', 'Gazengel, Bruno', 'Plantier, Guy']","['PSA Group, Rueil-Malmaison, France', 'Le Mans Université, Le Mans cedex 9, France']",Applications in Audio,Talk
4,Acoustic Beamforming on Transverse Loudspeaker Array Constructed from Micro-Speakers Point Sources for Effectiveness Improvement in High-Frequency Range,"Variable directivity speaker arrays are very popular in many acoustic aspects, such as wearable systems, natural sources simulations or acoustic scanners. Standard systems constructed from traditional drivers, despite great DSP, have limited beamforming possibilities because of the very narrow directivity patterns for loudspeakers in high frequencies. This paper presents a new approach for micro-speakers array design from monopole sources, based on isobaric speaker configuration. New solutions allow to reach high efficiency in broadband frequency range keeping matrix size small. This presentation will contain an explanation of used isobaric speaker principles and comparisons between standard transverse transducers matrix and innovative point-source matrix in two configurations. Achieved results allow to improve beamforming effectiveness in a high frequency range with new driver matrix construction.","['Chojnacki, Bartlomiej', 'Juros, Klara', 'Kaczor, Daniel', 'Kamisinski, Tadeusz']","['AGH University of Science and Technology, Cracow, Poland']",Transducers,Poster
5,Evaluating Four Variants of Sine Sweep Techniques for Their Resilience to Noise in Room Acoustic Measurements,"The sine sweep is one of the most effective methods for measuring room impulse responses; however, ambient room noise or unpredictable impulsive noises can negatively affect the quality of the measurement. This study evaluates four different variants of sine sweeps techniques for their resilience to noise when used as an excitation signal in room impulse response measurements: linear, exponential, noise whitened, and minimum noise. The result shows that in a pseudo-anechoic environment, exponential and linear sine sweeps are most resilient to impulsive noise among the four sweeps, while none of the evaluated sine sweeps are resilient to impulsive noise in an acoustically untreated room. Additionally, it is shown that minimum noise sine sweeps are most resilient to ambient noise.","['Segerstrom, Eric', 'Lee, Ming-Lun', 'Philbert, Steve']","['Rensselaer Polytechnic Institute, Troy, NY, USA', 'University of Rochester, Rochester, NY, USA']",Applications in Audio,Poster
6,"Designing Listening Tests of SR/PA Systems, A Case Study","It is very common to arrange for comparisons of SR/PA-systems. However, often, these comparisons are organized in a way leaving procedures less transparent and results rather unclear. Standards for the assessment of loudspeakers do exist. The assessors basically must be trained for the purpose, and the set-up should support double-blind testing. However, in the test of big systems, the listening panel is not necessarily trained, and the practical problems of rigging huge arrays to some degree may weaken the procedures and the results. This paper describes considerations for the comparative assessment of SR/PA systems. The paper also reports the outcome of an experiment where considered principles were applied.","['Brixen, Eddy Bøgh']","['EBB-consult, Smørum, Denmark', 'DPA Microphones, Allerød, Denmark']",Transducers,Talk
7,Temporal Envelope-Based Psychoacoustic Modelling for Evaluating Non-Waveform Preserving Audio Codecs,"Masking models that evaluate the audibility of error signals have a limited validity for assessing perceptual quality of parametric codecs. We propose a model that transforms the audio signal into an Internal Representation (IR) consisting of temporal-envelope modulation patterns. Subsequently, the IR of original and encoded signals are compared between both signals. Even though the audio signals compared may be uncorrelated, leading to a large error signal, they may exhibit a very similar IR and hence are predicted to sound very similar. Additional post-processing stages modeling higher-level auditory perceptual phenomena such as Comodulation Masking Release are included. Predictions are compared against subjective quality assessment results obtained with encoding methods ranging from parametric processing methods up to classic waveform preserving codecs.","['van de Par, Steven', 'Disch, Sascha', 'Niedermeier, Andreas', 'Burdiel Pérez, Elena', 'Edler, Bernd']","['University of Oldenburg, Oldenburg, Germany', 'Fraunhofer Institute for Integrated Circuits IIS, Erlangen, Germany', 'Friedrich Alexander University, Erlangen-Nürnberg, Germany', 'Fraunhofer HAS, Oldenburg, Germany']",Product Development,Talk
8,Personalized and Self-Adapting Headphone Equalization Using Near Field Response,"Variability in the acoustical coupling of headphones to human ears depends on a number of factors. Placement, size of user’s head and ears, the headband and ear-pad material are all major contributors to the sound quality delivered by the headphone to the user. By measuring the transfer function from the driver terminals to a miniature microphone set near the driver inside the cavity produced by the headphone and the ear, the degree of acoustical coupling and the fundamental frequency of the cavity volume was acquired. An individualized equalization on these measurements was applied to every user. Listeners rated the personalized EQ significantly higher than a generic target response and slightly higher than the bypassed headphone.","['Celestinos, Adrian', 'McMullin, Elisabeth', 'Banka, Ritesh', 'Brunet, Pascal']","['Samsung Research America, Valencia, CA, USA']",Transducers,Poster
9,Preference for Harmonic Intervals Based on Overtone Content of Complex Tones,"This study investigated whether or not overtone structure generated preferential differences for harmonic intervals. The purpose of this study was to determine if the structure of a complex tone affects the perception of consonance in harmonic intervals. Prior studies suggest harmonicity as the basis for so-called “consonance” while others suggest exact ratios are not necessary. This test examined listener responses across three tonal “types” through a randomized double-blind trinomial forced-choice format. Stimuli types used full, odd, and even overtone series at three relative-magnitude loudness levels. Results revealed no effect of loudness and a generalized but highly variable trend for the even overtone series. However, some subjects exhibited a very strong preference for certain overtone combinations, while others demonstrated no preference.","['Fox, Benjamin', 'Bulla, Wesley']","['Belmont University, Nashville, TN, USA']",Perception,Poster
