,0,1
0,None,54
1,"Dolby Laboratories, Inc.",14
2,New York University,13
3,Queen Mary University of London,10
4,McGill University,10
5,Belmont University,9
6,University of Rochester,7
7,University of York,7
8,Samsung Research America,6
9,Harman International,6
10,University of Southampton,6
11,Fraunhofer IIS,6
12,Hong Kong University of Science and Technology,6
13,Nanjing University,6
14,University of Miami,6
15,L-Acoustics,6
16,Akita Prefectural University,5
17,Berklee College of Music,5
18,Leibniz Universität Hannover,5
19,Flat Earth Inc.,5
20,Fraunhofer Institute for Integrated Circuits IIS,5
21,Facebook,4
22,University of Lethbridge,4
23,AGH University of Science and Technology,4
24,BBC Research and Development,4
25,University of Derby,4
26,Montana State University,4
27,University of Aizu,4
28,University of Salford,4
29,Gwangju Institute of Science and Technology,4
30,Chinese Academy of Sciences,4
31,Meyer Sound Laboratories,4
32,Stanford University,3
33,Bang & Olufsen a/s,3
34,TU Dresden,3
35,International Audio Laboratories Erlangen,3
36,Art+Logic,3
37,Fraunhofer Institute for Digital Media Technology IDMT,3
38,University of Colorado Denver,3
39,THX Ltd.,3
40,Guangzhou University,3
41,"Institute of Acoustics, Chinese Academy of Sciences",3
42,Birmingham City University,3
43,Contralto Audio srl,3
44,Sennheiser,3
45,Walters Storyk Design Group,3
46,Rensselaer Polytechnic Institute,3
47,Library of Congress,3
48,NTT,3
49,Zylia Sp. z o.o.,3
50,University of Huddersfield,3
51,Centre for Interdisciplinary Research in Music Media and Technology,3
52,Technische Universität Ilmenau,3
53,Fraunhofer Institute for Silicon Technology ISIT,3
54,University of Las Américas,3
55,Eventide Inc.,2
56,Mentor Graphics,2
57,Australian National University,2
58,Gorycki&Sznyterman Sp. z o.o.,2
59,Analog Devices,2
60,OCA Alliance,2
61,ICEpower,2
62,École Nationale Supérieure Louis Lumière,2
63,Universidad de Las Américas,2
64,Utah Valley University,2
65,University of Massachusetts Lowell,2
66,Universitá Politecnica della Marche,2
67,PSA Group,2
68,Lurssen Mastering,2
69,Audio Builders Workshop,2
70,BBC Studios,2
71,"Samsung Research America, Audio Lab",2
72,SCHOEPS Mikrofone GmbH,2
73,Celestion,2
74,The Telos Alliance,2
75,University of Central Punjab,2
76,Illusonic GmbH,2
77,Gearbox Software,2
78,Technical University of Denmark,2
79,Hiroshima City University,2
80,TU- Ilmenau,2
81,Aalto University,2
82,"QSC, LLC",2
83,Peter Mapp Associates,2
84,Focusrite,2
85,RWTH Aachen University,2
86,Harman Professional Solutions,2
87,Tokyo University of the Arts,2
88,Kyushu University,2
89,Microsoft,2
90,Kline Consulting Group LLC,2
91,Iron Mountain Entertainment Services,2
92,Bay Area Sound,2
93,Tufts University,2
94,Genelec Oy,2
95,University of Waikato,2
96,Imagine Communications,2
97,XPERI/DTS,2
