,last_name,first_name,affiliation_names,affiliation_locations
0,,Kimbra,['None'],['None']
1,Abe,Koji,['Akita Prefectural University'],"['Yurihonjo Akita, Japan']"
2,Abel,Jonathan,['Stanford University'],"['Stanford, CA, USA']"
3,Abramson,Zach,['YouTooCanWoo'],['None']
4,Ackerman,Kaylie,['Harvard University'],"['Cambridge, MA, USA']"
5,Agnello,Anthony,['Eventide Inc.'],"['Little Ferry, NJ, USA']"
6,Agrawal,Sarvesh,"['Bang & Olufsen a/s', 'Department of Photonics Engineering, Technical University of Denmark']","['Struer, Denmark', 'None']"
7,Agus,Trevor,['Queens University Belfast'],"['Belfast, UK']"
8,Aichinger,Thomas,['scopeaudio'],['Austria']
9,Ajemian,Ronald,['Owl Fiber Optics'],"['Flushing, NY, USA']"
10,Albergo,Mark,['None'],['None']
11,Alexander,Prince,['Berklee College of Music'],"['Boston, MA, USA']"
12,Altinsoy,M.,['TU Dresden'],"['Dresden, Germany']"
13,Amaya,Nestor,['Ross Video / COVELOZ Technologies'],"['Ottawa, ON, Canada']"
14,Ammermann,Tom,['New Audio Technology GmbH'],"['Hamburg, Germany']"
15,Anderson,David,['University of Pittsburgh'],"['Pittsburgh, PA, USA']"
16,Anderson,Jamie,['Rational Acoustics LLC'],"['Woodstock, CT, USA']"
17,Anemüller,Carlotta,['International Audio Laboratories Erlangen'],"['Erlangen, Germany']"
18,Austin,Abhita,['Audio Engineer-Producer and Founder of The Creator’s Suite'],['None']
19,Avila Brothers,IZ,['Avila Brothers'],['None']
20,Ayan,Adam,['Gateway Mastering Studios'],"['Portland, ME USA']"
21,Babbitt,Mike,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
22,Bærentsen,Klaus,['Aarhus University'],"['Aarhus, Denmark']"
23,Bagley,Jason,['Art+Logic'],"['Pasadena, CA, USA']"
24,Balding,Jeff,['NARAS P&E Wing'],['None']
25,Banka,Ritesh,['Samsung Research America'],['USA']
26,Banks,Joy,['CLIR'],['None']
27,Barak,Ohad,['Mentor Graphics'],"['Mountain View, CA, USA']"
28,Barber,David,"['Juniper Post, Inc.']","['Burbank, CA, USA']"
29,Barnes,Matt,['Australian National University'],"['Canberra, Australia']"
